staffid,locid,staffname,staffadd,staffcity,staffstate,staffzip,staffdob,staffdoj,staffsex,staffphone,staffemail
11111,CODEN,"Rivers, Fritz T.",963-3321 Elementum Ave,Denver,CO,80202,23/04/2000,8/7/2021,M,1341940333,riversfritzt9980@yahoo.com
11112,CODEN,"Wong, Herrod J.",396-7617 Posuere Ave,Denver,CO,80202,25/18/1982,20/18/2021,M,4484936162,wongherrodj1358@hotmail.com
11113,CODEN,"Rivera, Marvin G.",Ap #454-2210 Nulla. Rd.,Denver,CO,80202,13/20/1982,13/16/2019,M,6102356664,riveramarving@hotmail.com
11114,CODEN,"Cherry, Petra P.","554-2233 Est, Avenue",Denver,CO,80202,34/13/1969,34/11/2019,M,112202185,cherrypetrap@yahoo.com
11115,CODEN,"Sampson, Alden T.","P.O. Box 702, 4487 Dui Ave",Denver,CO,80202,8/9/1970,18/27/2019,M,7918138814,sampsonaldent@google.com
11116,COCOS,"Farrell, Camille J.","P.O. Box 736, 6359 Arcu. St.",Colorado Springs,CO,80904,21/18/1984,00/30/2018,F,7490711112,farrellcamillej3547@yahoo.com
11117,COCOS,"Suarez, Freya E.",Ap #864-8969 Interdum Rd.,Colorado Springs,CO,80904,39/24/1975,12/30/2018,F,2263633307,suarezfreyae@yahoo.com
11118,COCOS,"Serrano, Aquila U.","516-4953 Tortor, Av.",Colorado Springs,CO,80904,45/30/1986,30/04/2016,F,3282369424,serranoaquilau563@hotmail.com
11119,COCOS,"Jenkins, Alan W.",Ap #117-789 Urna Rd.,Colorado Springs,CO,80904,46/20/1969,18/26/2017,M,9836524786,jenkinsalanw9798@yahoo.com
11120,COCOS,"Bennett, Beatrice E.","P.O. Box 766, 1567 Torquent Rd.",Colorado Springs,CO,80904,58/16/1994,31/20/2018,F,1726745590,bennettbeatricee@hotmail.com
11121,KSWIC,"Jefferson, Claire R.","P.O. Box 761, 2352 Nonummy Road",Wichita,KS,67216,16/16/1968,34/03/2018,F,5140948832,jeffersonclairer2360@google.com
11122,KSWIC,"Ferrell, Jonas N.",Ap #198-6549 Ligula. Rd.,Wichita,KS,67216,33/19/2000,16/22/2015,M,9326176476,ferrelljonasn@google.com
11123,KSWIC,"Dominguez, Ross J.",Ap #354-6564 In Av.,Wichita,KS,67216,3/2/1976,49/04/2019,M,3351451457,dominguezrossj6924@google.com
11124,KSWIC,"Foreman, Herrod W.",Ap #966-5916 Magna. Road,Wichita,KS,67216,56/15/1997,8/6/2017,M,1653161127,foremanherrodw@google.com
11125,KSWIC,"Salinas, Alma Y.",154-8480 Velit. Ave,Wichita,KS,67216,2/24/1998,52/16/2020,F,1425668635,salinasalmay2939@hotmail.com
